Specified	Tree	Fitness	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.3244256622914499	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.3244256622914499	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(sub(sin(5), neg(sub(sin(5), neg(5))))), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.15103886023673624	
[18, 19]	add(neg(protectedDiv(ARG19, 5)), mul(ARG18, 5))	0.1104994413820896	
[18, 19]	add(neg(protectedDiv(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.03762282997149968	
[18, 19]	add(ARG19, mul(ARG18, 5))	0.012752343346344928	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sin(5))))), mul(ARG18, 5))	0.019733155870812015	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sub(sin(5), neg(5)), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.07472008813323858	
[7]	ARG7	0.0033847499379795584	
[11, 18, 19]	add(neg(protectedDiv(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5))))), sub(sin(5), neg(sub(sin(5), cos(sub(5, ARG11))))))), mul(ARG18, 5))	0.03091142047473479	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(5, neg(5)))))), mul(ARG18, sub(sin(5), neg(5))))	0.01719729431148305	
[18, 19, 13]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(5)))), mul(ARG18, cos(sin(ARG13))))	0.004124604339837234	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(cos(cos(5)))))))), mul(ARG18, 5))	0.01235016035146932	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.3244256622914499	
[18, 2, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(add(ARG2, ARG18), neg(5)))))), mul(ARG18, ARG19))	0.00029488430514968805	
[18]	add(neg(protectedDiv(5, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.048115456473773285	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), sin(5)))))), mul(ARG18, 5))	0.012360882236281762	
[18, 19]	add(neg(protectedDiv(ARG19, sub(neg(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.012360882236281756	
[18]	add(neg(protectedDiv(sub(sin(5), neg(sub(sin(5), neg(5)))), sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.048405039115798375	
[18, 19]	add(neg(protectedDiv(ARG19, ARG19)), mul(ARG18, 5))	0.048405039115798375	
[18]	add(neg(sin(5)), mul(ARG18, 5))	0.04903578258397864	
[18, 19]	add(neg(protectedDiv(ARG19, sub(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5))))), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.03908113983646137	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(sub(sin(5), neg(sub(sin(5), neg(5))))), neg(5)))))), mul(ARG18, 5))	0.15103886023673624	
[0, 18, 11, 13]	add(neg(sub(sub(ARG0, 5), protectedDiv(ARG11, ARG13))), mul(ARG18, 5))	0.01498422689395868	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(sin(5)), neg(5)))))), mul(ARG18, 5))	0.29061150846603084	
[18, 19]	add(neg(protectedDiv(ARG19, sub(5, neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.07074668481524922	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.3244256622914499	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.3244256622914499	
[18]	add(sin(5), mul(ARG18, 5))	0.04842271554640577	
[18, 19]	add(neg(protectedDiv(ARG19, sub(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.0402121674241324	
[3]	add(ARG3, 5)	0.003403712005280771	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), sub(sin(5), neg(sub(sin(5), neg(5))))))))), mul(ARG18, 5))	0.03119173194618908	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(ARG18, 5))	0.3244256622914499	
[18, 5]	add(neg(cos(ARG5)), mul(ARG18, 5))	0.04882904008215969	
[18]	add(sub(sin(5), neg(5)), mul(ARG18, 5))	0.049083901999094494	
[9, 18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(ARG9)))), mul(ARG18, 5))	0.015314346960325381	
[18]	add(sin(5), mul(ARG18, 5))	0.04842271554640577	
[18, 10, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(neg(protectedDiv(5, ARG10)), neg(5)))))), mul(ARG18, 5))	0.09483162293317846	
[19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), mul(sin(5), 5))	0.003504410717542495	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(ARG18, neg(5)))))), mul(ARG18, 5))	0.025032297171537814	
[18, 19]	add(neg(protectedDiv(ARG19, sub(sin(5), mul(ARG18, 5)))), mul(ARG18, 5))	0.04731567013013687	
[19]	add(neg(protectedDiv(ARG19, sub(sin(5), neg(sub(sin(5), neg(5)))))), neg(sub(sin(5), neg(5))))	0.0035038421182301623	
