Specified	Tree	Fitness	
[19]	add(5, add(ARG19, add(ARG19, ARG19)))	0.0171951152246342	
[19]	add(5, ARG19)	0.0171951152246342	
[1, 19]	add(ARG19, add(ARG1, 5))	0.011959414651262634	
[19]	add(5, add(ARG19, ARG19))	1.0	
[16, 19, 3, 7]	add(5, add(sub(mul(ARG16, ARG3), sin(ARG7)), ARG19))	0.000300384049457751	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19]	add(add(ARG19, ARG19), add(ARG19, 5))	0.0171951152246342	
[1]	add(mul(ARG1, 5), 5)	0.003139084570089993	
[19]	add(5, add(ARG19, ARG19))	1.0	
[19]	add(ARG19, 5)	0.0171951152246342	
[19]	add(add(ARG19, ARG19), 5)	1.0	
[19]	add(ARG19, add(5, ARG19))	1.0	
[19]	add(5, add(ARG19, ARG19))	1.0	
[19]	add(add(ARG19, ARG19), 5)	1.0	
[19]	add(add(ARG19, ARG19), ARG19)	0.017114543386019927	
[19]	add(5, add(5, ARG19))	0.017114543386019927	
[19]	add(ARG19, ARG19)	0.16659719906201012	
[19]	add(ARG19, add(add(ARG19, 5), 5))	0.16659719906201012	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19]	add(5, add(ARG19, ARG19))	1.0	
[9, 18, 19]	add(sub(ARG18, ARG9), add(ARG19, add(ARG19, ARG19)))	0.009747268934760528	
[]	add(5, 5)	0.008659735588412385	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[16, 19]	add(5, add(ARG16, ARG19))	0.012240011563789836	
[19, 15]	add(ARG19, add(ARG15, 5))	0.012268113570163348	
[19]	add(ARG19, add(5, 5))	0.017114543386019927	
[19, 4, 15]	add(ARG19, add(ARG19, add(mul(5, ARG15), cos(ARG4))))	0.003470922119648456	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19, 13]	add(add(ARG19, ARG19), ARG13)	0.017047605089447904	
[19]	add(add(5, ARG19), 5)	0.017114543386019927	
[19]	add(add(ARG19, ARG19), add(ARG19, 5))	0.0171951152246342	
[19]	add(ARG19, 5)	0.0171951152246342	
[19]	add(add(ARG19, ARG19), 5)	1.0	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19]	add(ARG19, add(ARG19, 5))	1.0	
[19]	add(5, add(ARG19, ARG19))	1.0	
[19]	add(ARG19, 5)	0.0171951152246342	
[19]	add(add(ARG19, ARG19), add(ARG19, 5))	0.0171951152246342	
[19]	add(5, add(ARG19, 5))	0.017114543386019927	
