Specified	Tree	Fitness	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(neg(neg(ARG19)))))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(neg(ARG19))))	1.0	
[19]	cos(neg(neg(ARG19)))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(ARG19)))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(neg(ARG19))))	1.0	
[19]	cos(neg(neg(neg(neg(neg(ARG19))))))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(neg(ARG19)))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(ARG19)))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(ARG19))	1.0	
[2]	cos(ARG2)	0.4981081385935571	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(neg(ARG19)))	1.0	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(neg(neg(neg(ARG19)))))	1.0	
[8]	ARG8	0.01672123398820427	
[0, 6]	cos(neg(sin(mul(ARG0, ARG6))))	0.48801525483862007	
[19]	cos(neg(ARG19))	1.0	
[4]	cos(add(neg(5), mul(5, ARG4)))	0.4980755381205494	
[19]	cos(ARG19)	1.0	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(neg(ARG19))))	1.0	
[17, 3]	cos(add(ARG3, ARG17))	0.4951488828318304	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(neg(neg(ARG19))))	1.0	
[19]	cos(ARG19)	1.0	
[17, 15]	cos(neg(sub(ARG17, ARG15)))	0.5010035976245777	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(neg(neg(neg(neg(neg(ARG19))))))	1.0	
[19]	cos(ARG19)	1.0	
[19]	cos(neg(ARG19))	1.0	
[19]	cos(ARG19)	1.0	
