Specified	Tree	Fitness	
[19, 6]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(protectedDiv(protectedDiv(5, ARG6), add(5, cos(ARG19))), add(5, cos(ARG19))), cos(ARG19))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.8118385493947413	
[0, 6, 10, 11, 12, 15, 19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(5, sin(add(protectedDiv(protectedDiv(5, add(protectedDiv(protectedDiv(5, add(5, cos(ARG6))), neg(5)), add(mul(ARG12, add(5, neg(protectedDiv(ARG10, ARG11)))), cos(sin(add(ARG0, ARG15)))))), neg(5)), add(5, cos(ARG19)))))), neg(add(5, cos(ARG19)))), add(5, cos(ARG19)))), ARG19))	0.8123534947538419	
[0, 19, 13]	cos(add(sin(add(protectedDiv(protectedDiv(5, mul(ARG13, ARG0)), neg(5)), add(5, cos(ARG19)))), ARG19))	0.78496787241196	
[19, 12, 6, 7]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(5, cos(add(sin(add(protectedDiv(protectedDiv(5, ARG6), mul(ARG12, mul(ARG12, ARG7))), add(5, cos(ARG19)))), add(5, 5))))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.8117155233691783	
[19, 6]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(protectedDiv(protectedDiv(5, add(5, cos(ARG6))), neg(5)), add(add(5, cos(cos(ARG19))), cos(ARG19)))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.8093578213131765	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(5, cos(ARG19))), neg(add(5, ARG19))), add(5, cos(ARG19)))), ARG19))	0.7816556861759474	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(5, cos(ARG19))), neg(add(5, cos(ARG19)))), add(5, cos(ARG19)))), ARG19))	0.8114432466576713	
[6, 10, 11, 12, 19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(protectedDiv(protectedDiv(5, ARG6), mul(ARG12, add(5, neg(protectedDiv(ARG10, ARG11))))), add(5, cos(ARG19))), cos(ARG19))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.811877164344261	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(add(5, cos(ARG19)), cos(ARG19)), cos(5))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.8110958424254774	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(ARG19, add(add(5, cos(ARG19)), cos(ARG19))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.5237015113623008	
[16, 19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), sin(add(protectedDiv(protectedDiv(5, add(5, cos(5))), neg(5)), add(sin(ARG16), cos(ARG19)))))), neg(add(5, cos(ARG19)))), add(5, cos(ARG19)))), ARG19))	0.8116889865168128	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), cos(ARG19))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.8118623769458744	
[19, 12, 6, 7]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(protectedDiv(protectedDiv(5, add(5, cos(ARG19))), neg(5)), add(protectedDiv(protectedDiv(5, ARG6), mul(ARG12, add(protectedDiv(protectedDiv(5, ARG6), mul(ARG12, ARG7)), add(5, cos(ARG19))))), add(5, cos(ARG19)))), cos(ARG19))), neg(add(5, cos(ARG19)))), add(5, cos(ARG19)))), ARG19))	0.8118936886683437	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), cos(add(5, add(5, cos(ARG19)))))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.812534068475363	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), cos(ARG19))), neg(5)), add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), cos(ARG19))), neg(5)), cos(ARG19)))), ARG19))	0.6149999792705657	
[19, 2, 18]	cos(add(sin(add(5, sub(ARG2, ARG18))), ARG19))	0.5389286587178262	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), cos(ARG19))), neg(add(5, cos(ARG19)))), add(5, cos(ARG19)))), ARG19))	0.8117996523396183	
[19, 12, 6]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(5, cos(ARG19))), neg(add(protectedDiv(protectedDiv(5, ARG6), mul(ARG12, add(sin(5), add(5, cos(ARG19))))), add(5, cos(ARG19))))), add(5, cos(ARG19)))), ARG19))	0.8114580998131021	
[6, 10, 11, 12, 19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(protectedDiv(protectedDiv(5, ARG6), mul(ARG12, add(5, neg(protectedDiv(ARG10, ARG11))))), add(5, cos(ARG19))), cos(ARG19))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.811877164344261	
[19, 11]	cos(add(sin(ARG11), ARG19))	0.5398283036546148	
[19]	cos(add(sin(add(protectedDiv(protectedDiv(5, add(add(5, cos(ARG19)), cos(ARG19))), neg(5)), add(5, cos(ARG19)))), ARG19))	0.8118623769458744	
[13]	cos(cos(mul(protectedDiv(5, 5), sin(ARG13))))	0.4443274963246144	
[19]	cos(add(sin(5), ARG19))	0.7535596052549968	
