Specified	Tree	Fitness	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), ARG19)))	0.017039774505347462	
[18]	neg(sub(5, sub(mul(ARG18, neg(5)), neg(5))))	0.00030136775947970225	
[1, 19]	neg(sub(protectedDiv(ARG1, 5), sub(mul(5, ARG19), neg(5))))	0.00030053484416255234	
[18, 19]	neg(sub(ARG18, sub(mul(ARG18, ARG19), neg(5))))	0.017122090556875486	
[18, 19]	neg(sub(mul(ARG18, ARG19), sub(mul(ARG18, ARG19), neg(5))))	0.0003026377181517697	
[]	neg(sub(5, sub(5, neg(5))))	0.0003026377181517697	
[18, 19]	neg(sub(ARG18, sub(mul(ARG18, ARG19), neg(5))))	0.017122090556875486	
[19]	neg(sub(5, sub(mul(5, ARG19), neg(5))))	0.0003005496190060317	
[10, 18, 19]	neg(sub(sub(5, sub(mul(ARG18, ARG19), neg(5))), sub(mul(ARG18, add(neg(ARG10), mul(5, 5))), neg(5))))	0.00028771988412506637	
[]	neg(5)	0.00030263546448741434	
[18]	neg(sub(5, sub(mul(ARG18, 5), neg(5))))	0.00030165399377845355	
[18, 19]	neg(sub(ARG19, sub(mul(ARG18, ARG19), neg(5))))	0.017066112270279526	
[]	neg(sub(5, neg(5)))	0.0003026332969164988	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), sub(mul(ARG18, ARG19), neg(5)))))	0.0003026332969164988	
[18]	neg(sub(5, sub(mul(ARG18, neg(5)), neg(5))))	0.00030136775947970225	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), ARG19)))	0.017039774505347462	
[1]	neg(sub(5, ARG1))	0.0003026418590784599	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), neg(5))))	0.999999999999998	
[]	neg(neg(5))	0.0003026377181517697	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), sub(5, sub(mul(ARG18, ARG19), neg(5))))))	0.0003026377181517697	
[18, 19]	neg(sub(5, sub(mul(mul(ARG18, ARG19), ARG19), neg(5))))	3.888550387136448e-06	
[18]	neg(sub(5, sub(ARG18, neg(5))))	0.00030262058568671253	
[19]	neg(sub(5, sub(mul(5, ARG19), neg(5))))	0.0003005496190060317	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), neg(ARG18))))	0.017122090556875486	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), neg(5))))	0.999999999999998	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), neg(5))))	0.999999999999998	
[17]	neg(neg(ARG17))	0.0003024572838399195	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), neg(5))))	0.999999999999998	
[]	neg(sub(5, neg(5)))	0.0003026332969164988	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), sub(mul(ARG18, ARG19), neg(cos(ARG19))))))	0.00030263736875516195	
[9]	sub(ARG9, 5)	0.00030264451578008425	
[18, 19]	neg(sub(5, mul(ARG18, ARG19)))	0.1665971990620101	
[18]	neg(sub(5, sub(mul(ARG18, neg(5)), 5)))	0.0003013645254131079	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), ARG19)))	0.017039774505347462	
[18, 19]	neg(sub(5, sub(mul(ARG18, ARG19), neg(sub(mul(ARG18, ARG19), neg(5))))))	0.0003026369382426421	
[]	neg(sub(5, 5))	0.0003026369382426421	
[18, 19]	neg(sub(5, sub(mul(ARG18, mul(ARG18, ARG19)), neg(5))))	3.893140816151243e-06	
[7]	neg(sub(5, sub(sub(5, ARG7), neg(5))))	0.00030287252310391997	
