S.No.	Accuracy	BestAccuracy	RMSE	BestRMSE
1	1.4533765388053652e-08	3.0699914687059866e-08	68805292.96889618	32573379.42120045
2	9.088312146129512e-09	4.2649782628364687e-08	110031431.0108245	23446777.35086877
3	3.708187751982063e-08	4.4803765441468685e-08	26967349.8161902	22319551.612299804
4	2.617435902154574e-11	3.622983346881014e-08	38205329083.72899	27601561.145210765
5	7.057483579175394e-10	3.385691855891351e-08	1416935637.2928224	29536059.650644474
6	3.660525412842054e-10	2.8307470667226693e-08	2731848264.5297127	35326362.55100994
7	1.6885871045250007e-08	3.997814379743697e-08	59221107.423737474	25013666.594644822
8	2.686835281988318e-09	0.0002278271413371044	372185077.3721947	4388.2926634248115
9	1.0803311142962038e-11	3.214130259817203e-08	92564213578.22876	31112614.829604648
10	7.711566420244868e-10	1.0173646901093398e-07	1296753402.2706246	9829315.957054274
11	1.0624561883663792e-11	3.416158646211286e-08	94121528109.96982	29272644.2007449	
12	2.082784365227291e-09	2.6106743189219535e-06	480126514.5890834	383041.7996139089	
13	3.315820769034817e-08	3.711049873250227e-08	30158444.514866717	26946551.435421083	
14	3.039598601414805e-10	2.5177804408694306e-08	3289908079.410822	39717520.97958467	
15	2.669729967249705e-08	4.020706568617375e-08	37456970.763709016	24871249.43655887	
16	8.854324348766958e-10	9.864506355580903e-08	1129391650.5936744	10137353.713489987	
17	9.608074112711567e-09	3.221719060658095e-08	104079129.55926485	31039328.661343336	
18	4.628890422545273e-10	4.133011610343563e-08	2160344938.5333347	24195430.66772942	
19	3.7613406859628e-08	3.998785133284975e-08	26586263.938243087	25007594.22376504	
20	1.9946068068469662e-09	2.6449723352530924e-06	501351942.93564695	378074.7880419615	
21	4.74602231536919e-13	3.327842633125529e-08	2107027598166.1414	30049496.835202448	
22	3.3097110915000645e-10	3.2018001996863625e-08	3021411754.751674	31232428.80926657	
23	1.0108210101797848e-10	6.932474326269131e-08	9892948304.676193	14424863.095215088	
24	2.9460797341121386e-08	3.232807759117419e-08	33943411.61104294	30932862.14906048	
25	2.8443812301669295e-08	3.051357630154638e-08	35157030.32175825	32772296.488751642	
26	1.2279709775870328e-08	0.016986956899041707	81435148.3848009	57.86869590258474	
27	1.0377849295281358e-08	3.550082669827107e-08	96359077.99093157	28168357.1201984	
28	1.3983270055185515e-09	1.0947611847070898e-07	715140303.1301937	9134411.27154538	
29	4.665942795284738e-10	3.4290513708206106e-08	2143189583.3441756	29162583.396065455	
30	3.225042638460198e-08	4.447810537523555e-08	31007340.98284745	22482971.050261352	
1	1.0	1.0	0	0	
