Specified	Tree	Fitness	
[3, 12, 14, 17, 19]	mul(add(ARG3, add(ARG12, add(ARG12, ARG17))), protectedDiv(ARG19, ARG14))	0.548125	
[19, 17, 3, 14]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(mul(sin(5), mul(ARG14, ARG17)), ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.5349999999999999	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG19))	0.53125	
[17, 3, 12, 14]	mul(add(mul(sin(add(mul(sin(5), mul(ARG14, ARG17)), ARG17)), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG14, ARG14))	0.53125	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, add(ARG12, ARG3)), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(mul(ARG14, ARG17), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.548125	
[3, 12, 14, 17, 19]	mul(add(ARG3, add(add(ARG12, mul(sin(5), sin(5))), ARG17)), protectedDiv(ARG19, ARG14))	0.531875	
[17, 19, 12, 14]	mul(add(add(ARG12, mul(sin(5), mul(ARG14, ARG17))), protectedDiv(ARG19, ARG14)), protectedDiv(ARG19, ARG14))	0.538125	
[17, 3, 12, 14]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), add(add(ARG12, ARG3), ARG17))	0.53125	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, add(ARG3, mul(add(mul(sin(5), mul(ARG14, ARG3)), add(add(ARG12, ARG3), ARG17)), mul(ARG14, ARG12)))), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), mul(ARG14, ARG17)), add(add(ARG12, ARG17), ARG17)), protectedDiv(ARG19, ARG14))	0.544375	
[9, 19, 14, 17]	mul(add(mul(sin(ARG9), mul(ARG14, ARG17)), 5), protectedDiv(ARG19, ARG14))	0.531875	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(mul(5, ARG14), ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.520625	
[3, 11, 12, 14, 17]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(mul(sin(5), add(sin(ARG11), sin(5))), ARG14))	0.53125	
[3, 12, 14, 17, 19]	mul(add(ARG3, add(ARG19, add(ARG12, ARG17))), protectedDiv(ARG19, ARG14))	0.533125	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(ARG3, add(add(ARG12, mul(sin(5), mul(ARG14, ARG17))), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 9, 12, 14, 17, 19]	mul(add(add(ARG12, mul(sin(5), mul(mul(ARG9, ARG14), ARG17))), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55875	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), ARG19), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.54	
[17, 14]	mul(add(neg(ARG17), add(mul(sin(5), mul(ARG14, ARG17)), ARG17)), protectedDiv(mul(ARG14, ARG17), ARG14))	0.5	
[19, 3, 12, 14]	mul(add(ARG12, add(ARG12, ARG3)), protectedDiv(ARG19, ARG14))	0.53	
[19, 17, 3, 14]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(add(mul(sin(5), mul(ARG14, ARG17)), ARG17), ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.550625	
[17, 3, 12, 14]	mul(add(ARG3, add(mul(sin(5), mul(ARG14, ARG17)), add(ARG12, ARG17))), 5)	0.53125	
[3, 12, 14, 15, 17, 19]	mul(add(mul(ARG15, mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.548125	
[3, 12, 14, 17, 19]	mul(add(ARG3, add(mul(sin(5), mul(ARG14, ARG17)), add(ARG12, ARG17))), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.55625	
[3, 12, 14, 17, 19]	mul(add(mul(add(mul(sin(5), mul(ARG14, ARG17)), add(add(ARG12, ARG12), ARG17)), mul(ARG14, ARG14)), add(add(ARG12, ARG3), ARG17)), protectedDiv(ARG19, ARG14))	0.556875	
[3, 12, 14, 17, 19]	mul(add(add(add(ARG12, ARG3), ARG17), mul(sin(5), mul(ARG14, ARG17))), protectedDiv(protectedDiv(ARG19, ARG14), add(ARG3, add(ARG12, mul(5, ARG17)))))	0.55625	
